600.000	13.737
600.650	15.452
601.300	17.180
601.950	17.192
602.600	17.192
603.250	16.957
603.900	16.722
604.550	16.087
605.200	15.464
605.850	13.455
606.500	11.445
607.150	9.638
607.800	7.830
608.450	8.269
609.100	8.709
609.750	9.588
610.400	10.467
611.050	11.535
611.700	12.597
612.350	14.136
613.000	15.676
613.650	17.885
614.300	20.094
614.950	22.808
615.600	25.523
616.250	29.553
616.900	33.584
617.550	39.260
618.200	44.924
618.850	52.679
619.500	60.435
620.150	69.612
620.800	78.790
621.450	91.457
622.100	104.125
622.750	120.682
623.400	137.250
624.050	160.870
624.700	184.489
625.350	220.682
626.000	256.874
626.650	338.660
627.300	420.329
627.950	580.846
628.600	741.246
629.250	842.656
629.900	943.948
630.550	971.915
631.200	1000.000
631.850	992.597
632.500	985.311
633.150	922.797
633.800	860.400
634.450	714.454
635.100	568.508
635.750	470.858
636.400	373.325
637.050	333.137
637.700	293.067
638.350	271.915
639.000	250.764
639.650	240.893
640.300	231.022
640.950	224.559
641.600	218.214
642.250	216.451
642.900	214.689
643.550	212.103
644.200	209.518
644.850	209.283
645.500	209.166
646.150	207.521
646.800	205.875
647.450	204.935
648.100	203.995
648.750	201.528
649.400	199.177
650.050	198.472
650.700	197.767
651.350	196.357
652.000	195.065
652.650	194.242
653.300	193.420
653.950	192.714
654.600	192.009
655.250	190.717
655.900	189.424
656.550	187.779
657.200	186.134
657.850	184.724
658.500	183.314
659.150	180.024
659.800	176.851
660.450	173.678
661.100	170.623
661.750	168.743
662.400	166.980
663.050	164.512
663.700	162.162
664.350	158.754
665.000	155.347
665.650	154.289
666.300	153.114
666.950	150.881
667.600	148.649
668.250	146.769
668.900	144.888
669.550	143.126
670.200	141.363
670.850	140.893
671.500	140.541
672.150	140.306
672.800	139.953
673.450	141.246
674.100	142.538
674.750	143.948
675.400	145.476
676.050	147.474
676.700	149.471
677.350	151.469
678.000	153.467
678.650	156.169
679.300	158.872
679.950	160.752
680.600	162.750
681.250	165.805
681.900	168.978
682.550	172.033
683.200	175.206
683.850	179.671
684.500	184.019
685.150	188.484
685.800	192.949
686.450	199.412
687.100	205.875
687.750	211.398
688.400	217.039
689.050	223.502
689.700	229.965
690.350	236.075
691.000	242.186
691.650	247.826
692.300	253.349
692.950	258.872
693.600	264.395
694.250	268.625
694.900	272.855
695.550	278.378
696.200	283.901
696.850	287.192
697.500	290.599
698.150	295.300
698.800	300.000
699.450	304.230
700.100	308.343
700.750	312.573
701.400	316.686
702.050	320.212
702.700	323.737
703.350	328.085
704.000	332.315
704.650	336.310
705.300	340.188
705.950	342.891
706.600	345.593
707.250	349.001
707.900	352.291
708.550	352.879
709.200	353.584
709.850	356.404
710.500	359.342
711.150	360.870
711.800	362.515
712.450	362.515
713.100	362.515
713.750	362.397
714.400	362.397
715.050	360.870
715.700	359.342
716.350	355.112
717.000	350.881
717.650	344.066
718.300	337.368
718.950	331.610
719.600	325.969
720.250	320.682
720.900	315.394
721.550	310.576
722.200	305.758
722.850	301.880
723.500	298.002
724.150	293.419
724.800	288.837
725.450	288.014
726.100	287.309
726.750	284.606
727.400	281.904
728.050	281.081
728.700	280.259
729.350	278.731
730.000	277.203
730.650	278.496
731.300	279.788
731.950	279.906
732.600	279.906
733.250	280.494
733.900	281.199
734.550	283.431
735.200	285.664
735.850	287.779
736.500	289.894
737.150	296.005
737.800	302.233
738.450	307.521
739.100	312.808
739.750	318.684
740.400	324.559
741.050	330.552
741.700	336.545
742.350	343.948
743.000	351.351
743.650	356.287
744.300	361.222
744.950	366.863
745.600	372.385
746.250	381.316
746.900	390.247
747.550	397.767
748.200	405.405
748.850	414.219
749.500	423.032
750.150	432.902
750.800	442.773
751.450	453.231
752.100	463.572
752.750	472.385
753.400	481.081
754.050	487.074
754.700	493.067
755.350	502.468
756.000	511.751
756.650	515.864
757.300	519.976
757.950	523.032
758.600	526.087
759.250	527.262
759.900	528.437
760.550	526.557
761.200	524.794
761.850	516.216
762.500	507.756
763.150	497.767
763.800	487.662
764.450	477.791
765.100	467.920
765.750	455.699
766.400	443.361
767.050	429.965
767.700	416.569
768.350	404.700
769.000	392.832
769.650	379.906
770.300	366.980
770.950	355.112
771.600	343.243
772.250	333.020
772.900	322.914
773.550	314.219
774.200	305.405
774.850	298.942
775.500	292.479
776.150	289.307
776.800	286.134
777.450	282.609
778.100	279.083
778.750	277.203
779.400	275.441
780.050	274.853
780.700	274.266
781.350	275.323
782.000	276.263
782.650	275.676
783.300	275.088
783.950	275.911
784.600	276.733
785.250	277.908
785.900	278.966
786.550	278.966
787.200	278.966
787.850	281.786
788.500	284.606
789.150	287.779
789.800	291.069
790.450	295.770
791.100	300.588
791.750	306.816
792.400	312.926
793.050	318.919
793.700	324.912
794.350	331.257
795.000	337.603
795.650	344.536
796.300	351.469
796.950	356.522
797.600	361.575
798.250	366.980
798.900	372.268
799.550	380.141
800.200	387.897
800.850	398.237
801.500	408.461
802.150	418.449
802.800	428.320
803.450	437.955
804.100	447.591
804.750	452.174
805.400	456.757
806.050	455.582
806.700	454.524
807.350	449.354
808.000	444.183
808.650	438.778
809.300	433.490
809.950	423.854
810.600	414.219
811.250	408.931
811.900	403.643
812.550	396.357
813.200	389.189
813.850	381.551
814.500	373.913
815.150	369.448
815.800	364.865
816.450	358.754
817.100	352.644
817.750	346.886
818.400	341.128
819.050	333.725
819.700	326.322
820.350	318.096
821.000	309.871
821.650	302.938
822.300	295.887
822.950	291.539
823.600	287.309
824.250	283.901
824.900	280.494
825.550	277.203
826.200	273.913
